timestamp,image_path,linear_v,angular_w
20260317_155247_290004,img_20260317_155247_290004.jpg,0.0,0.0
20260317_155247_336039,img_20260317_155247_336039.jpg,0.0,0.0
20260317_155247_386434,img_20260317_155247_386434.jpg,0.0,0.0
20260317_155247_434949,img_20260317_155247_434949.jpg,0.0,0.0
20260317_155247_488850,img_20260317_155247_488850.jpg,0.0,0.0
20260317_155247_538620,img_20260317_155247_538620.jpg,0.0,0.0
20260317_155247_589490,img_20260317_155247_589490.jpg,0.0,0.0
20260317_155247_640947,img_20260317_155247_640947.jpg,0.0,0.0
20260317_155247_691122,img_20260317_155247_691122.jpg,0.0,0.0
20260317_155247_739983,img_20260317_155247_739983.jpg,0.0,0.0
20260317_155247_794673,img_20260317_155247_794673.jpg,0.0,0.0
20260317_155247_847535,img_20260317_155247_847535.jpg,0.0,0.0
20260317_155247_900024,img_20260317_155247_900024.jpg,0.0,0.0
20260317_155247_945434,img_20260317_155247_945434.jpg,0.0,0.0
20260317_155247_998454,img_20260317_155247_998454.jpg,0.0,0.0
20260317_155248_049897,img_20260317_155248_049897.jpg,0.0,0.0
20260317_155248_105107,img_20260317_155248_105107.jpg,0.0,0.0
20260317_155248_143230,img_20260317_155248_143230.jpg,0.0,0.0
20260317_155248_194104,img_20260317_155248_194104.jpg,0.0,0.0
20260317_155248_244222,img_20260317_155248_244222.jpg,0.0,0.0
20260317_155248_308833,img_20260317_155248_308833.jpg,0.0,0.0
20260317_155248_360732,img_20260317_155248_360732.jpg,0.0,0.0
20260317_155248_415771,img_20260317_155248_415771.jpg,0.0,0.0
20260317_155248_464679,img_20260317_155248_464679.jpg,0.0,0.0
20260317_155248_512970,img_20260317_155248_512970.jpg,0.0,0.0
20260317_155248_563780,img_20260317_155248_563780.jpg,0.0,0.0
20260317_155248_618863,img_20260317_155248_618863.jpg,0.0,0.0
20260317_155248_655527,img_20260317_155248_655527.jpg,0.0,0.0
20260317_155248_717700,img_20260317_155248_717700.jpg,0.0,0.0
20260317_155248_757886,img_20260317_155248_757886.jpg,0.0,0.0
20260317_155248_820367,img_20260317_155248_820367.jpg,0.0,0.0
20260317_155248_859088,img_20260317_155248_859088.jpg,0.0,0.0
20260317_155248_925240,img_20260317_155248_925240.jpg,0.0,0.0
20260317_155248_968696,img_20260317_155248_968696.jpg,0.0,0.0
20260317_155249_026976,img_20260317_155249_026976.jpg,0.0,0.0
20260317_155249_076329,img_20260317_155249_076329.jpg,0.0,0.0
20260317_155249_117746,img_20260317_155249_117746.jpg,0.0,0.0
20260317_155249_167066,img_20260317_155249_167066.jpg,0.0,0.0
20260317_155249_231253,img_20260317_155249_231253.jpg,0.0,0.0
20260317_155249_279575,img_20260317_155249_279575.jpg,0.0,0.0
20260317_155249_333762,img_20260317_155249_333762.jpg,0.0,0.0
20260317_155249_383447,img_20260317_155249_383447.jpg,0.0,0.0
20260317_155249_424833,img_20260317_155249_424833.jpg,0.0,0.0
20260317_155249_487218,img_20260317_155249_487218.jpg,0.0,0.0
20260317_155249_540056,img_20260317_155249_540056.jpg,0.0,0.0
20260317_155249_594158,img_20260317_155249_594158.jpg,0.0,0.0
20260317_155249_640951,img_20260317_155249_640951.jpg,0.0,0.0
20260317_155249_693233,img_20260317_155249_693233.jpg,0.0,0.0
20260317_155249_730644,img_20260317_155249_730644.jpg,0.0,0.0
20260317_155249_793733,img_20260317_155249_793733.jpg,0.0,0.0
20260317_155249_843118,img_20260317_155249_843118.jpg,0.0,0.0
20260317_155249_896317,img_20260317_155249_896317.jpg,0.0,0.0
20260317_155249_946350,img_20260317_155249_946350.jpg,0.0,0.0
20260317_155250_000037,img_20260317_155250_000037.jpg,0.0,0.0
20260317_155250_048106,img_20260317_155250_048106.jpg,0.0,0.0
20260317_155250_101739,img_20260317_155250_101739.jpg,0.0,0.0
20260317_155250_150014,img_20260317_155250_150014.jpg,0.0,0.0
20260317_155250_203870,img_20260317_155250_203870.jpg,0.0,0.0
20260317_155250_254030,img_20260317_155250_254030.jpg,0.0,0.0
20260317_155250_307665,img_20260317_155250_307665.jpg,0.0,0.0
20260317_155250_354800,img_20260317_155250_354800.jpg,0.0,0.0
20260317_155250_396238,img_20260317_155250_396238.jpg,0.0,0.0
20260317_155250_456367,img_20260317_155250_456367.jpg,0.0,0.0
20260317_155250_507308,img_20260317_155250_507308.jpg,0.0,0.0
20260317_155250_562336,img_20260317_155250_562336.jpg,0.0,0.0
20260317_155250_611763,img_20260317_155250_611763.jpg,0.0,0.0
20260317_155250_667376,img_20260317_155250_667376.jpg,0.0,0.0
20260317_155250_715171,img_20260317_155250_715171.jpg,0.0,0.0
20260317_155250_765871,img_20260317_155250_765871.jpg,0.0,0.0
20260317_155250_814097,img_20260317_155250_814097.jpg,0.0,0.0
20260317_155250_872233,img_20260317_155250_872233.jpg,0.0,0.0
20260317_155250_922849,img_20260317_155250_922849.jpg,0.0,0.0
20260317_155250_974293,img_20260317_155250_974293.jpg,0.0,0.0
20260317_155251_035402,img_20260317_155251_035402.jpg,0.0,0.0
20260317_155251_069881,img_20260317_155251_069881.jpg,0.0,0.0
20260317_155251_130124,img_20260317_155251_130124.jpg,0.0,0.0
20260317_155251_181880,img_20260317_155251_181880.jpg,0.0,0.0
20260317_155251_235755,img_20260317_155251_235755.jpg,0.0,0.0
20260317_155251_289803,img_20260317_155251_289803.jpg,0.0,0.0
20260317_155251_338409,img_20260317_155251_338409.jpg,0.0,0.0
20260317_155251_385774,img_20260317_155251_385774.jpg,0.0,0.0
20260317_155251_436190,img_20260317_155251_436190.jpg,0.0,0.0
20260317_155251_489365,img_20260317_155251_489365.jpg,0.0,0.0
20260317_155251_544125,img_20260317_155251_544125.jpg,0.0,0.0
20260317_155251_594037,img_20260317_155251_594037.jpg,0.0,0.0
20260317_155251_633117,img_20260317_155251_633117.jpg,0.0,0.0
20260317_155251_698051,img_20260317_155251_698051.jpg,0.0,0.0
20260317_155251_744314,img_20260317_155251_744314.jpg,0.0,0.0
20260317_155251_797159,img_20260317_155251_797159.jpg,0.0,0.0
20260317_155251_847028,img_20260317_155251_847028.jpg,0.0,0.0
20260317_155251_900192,img_20260317_155251_900192.jpg,0.0,0.0
20260317_155251_949303,img_20260317_155251_949303.jpg,0.0,0.0
20260317_155251_991999,img_20260317_155251_991999.jpg,0.0,0.0
20260317_155252_052591,img_20260317_155252_052591.jpg,0.0,0.0
20260317_155252_103652,img_20260317_155252_103652.jpg,0.0,0.0
20260317_155252_157919,img_20260317_155252_157919.jpg,0.0,0.0
20260317_155252_195464,img_20260317_155252_195464.jpg,0.0,0.0
20260317_155252_261638,img_20260317_155252_261638.jpg,0.0,0.0
20260317_155252_310672,img_20260317_155252_310672.jpg,0.0,0.0
20260317_155252_352880,img_20260317_155252_352880.jpg,0.0,0.0
20260317_155252_401721,img_20260317_155252_401721.jpg,0.0,0.0
20260317_155252_462826,img_20260317_155252_462826.jpg,0.0,0.0
20260317_155252_513689,img_20260317_155252_513689.jpg,0.0,0.0
20260317_155252_560259,img_20260317_155252_560259.jpg,0.0,0.0
20260317_155252_617527,img_20260317_155252_617527.jpg,0.0,0.0
20260317_155252_669665,img_20260317_155252_669665.jpg,0.0,0.0
20260317_155252_719473,img_20260317_155252_719473.jpg,0.0,0.0
20260317_155252_771472,img_20260317_155252_771472.jpg,0.0,0.0
20260317_155252_824259,img_20260317_155252_824259.jpg,0.0,0.0
20260317_155252_877899,img_20260317_155252_877899.jpg,0.0,0.0
20260317_155252_928558,img_20260317_155252_928558.jpg,0.2,0.0
20260317_155252_979438,img_20260317_155252_979438.jpg,0.2,0.0
20260317_155253_029979,img_20260317_155253_029979.jpg,0.2,0.0
20260317_155253_069088,img_20260317_155253_069088.jpg,0.2,0.0
20260317_155253_131713,img_20260317_155253_131713.jpg,0.2,0.0
20260317_155253_181553,img_20260317_155253_181553.jpg,0.2,0.0
20260317_155253_234712,img_20260317_155253_234712.jpg,0.2,0.0
20260317_155253_285464,img_20260317_155253_285464.jpg,0.2,0.0
20260317_155253_338475,img_20260317_155253_338475.jpg,0.2,0.0
20260317_155253_390077,img_20260317_155253_390077.jpg,0.2,0.0
20260317_155253_430022,img_20260317_155253_430022.jpg,0.2,0.0
20260317_155253_480334,img_20260317_155253_480334.jpg,0.2,0.0
20260317_155253_532840,img_20260317_155253_532840.jpg,0.2,0.0
20260317_155253_594735,img_20260317_155253_594735.jpg,0.2,0.0
20260317_155253_646143,img_20260317_155253_646143.jpg,0.2,0.0
20260317_155253_698113,img_20260317_155253_698113.jpg,0.2,0.0
20260317_155253_748073,img_20260317_155253_748073.jpg,0.2,0.0
20260317_155253_801607,img_20260317_155253_801607.jpg,0.2,0.0
20260317_155253_850225,img_20260317_155253_850225.jpg,0.2,0.0
20260317_155253_905276,img_20260317_155253_905276.jpg,0.2,0.0
20260317_155253_943074,img_20260317_155253_943074.jpg,0.2,0.0
20260317_155253_991409,img_20260317_155253_991409.jpg,0.2,0.0
20260317_155254_053422,img_20260317_155254_053422.jpg,0.2,0.0
20260317_155254_107858,img_20260317_155254_107858.jpg,0.2,0.0
20260317_155254_159779,img_20260317_155254_159779.jpg,0.2,0.0
20260317_155254_210697,img_20260317_155254_210697.jpg,0.2,0.0
20260317_155254_263933,img_20260317_155254_263933.jpg,0.2,0.0
20260317_155254_311038,img_20260317_155254_311038.jpg,0.2,0.0
20260317_155254_366534,img_20260317_155254_366534.jpg,0.2,0.0
20260317_155254_415162,img_20260317_155254_415162.jpg,0.2,0.0
20260317_155254_454560,img_20260317_155254_454560.jpg,0.2,0.0
20260317_155254_516783,img_20260317_155254_516783.jpg,0.2,0.0
20260317_155254_566595,img_20260317_155254_566595.jpg,0.2,0.0
20260317_155254_618983,img_20260317_155254_618983.jpg,0.2,0.0
20260317_155254_658561,img_20260317_155254_658561.jpg,0.2,0.0
20260317_155254_723816,img_20260317_155254_723816.jpg,0.2,0.0
20260317_155254_771976,img_20260317_155254_771976.jpg,0.2,0.0
20260317_155254_825955,img_20260317_155254_825955.jpg,0.2,0.0
20260317_155254_876455,img_20260317_155254_876455.jpg,0.2,0.0
20260317_155254_927522,img_20260317_155254_927522.jpg,0.2,0.0
20260317_155254_978878,img_20260317_155254_978878.jpg,0.2,0.0
20260317_155255_018140,img_20260317_155255_018140.jpg,0.2,0.0
20260317_155255_080654,img_20260317_155255_080654.jpg,0.2,0.0
20260317_155255_130517,img_20260317_155255_130517.jpg,0.2,0.0
20260317_155255_185629,img_20260317_155255_185629.jpg,0.2,0.0
20260317_155255_234773,img_20260317_155255_234773.jpg,0.2,0.0
20260317_155255_286833,img_20260317_155255_286833.jpg,0.2,0.0
20260317_155255_326131,img_20260317_155255_326131.jpg,0.2,0.0
20260317_155255_389731,img_20260317_155255_389731.jpg,0.2,0.0
20260317_155255_426123,img_20260317_155255_426123.jpg,0.2,0.0
20260317_155255_492721,img_20260317_155255_492721.jpg,0.2,0.0
20260317_155255_529368,img_20260317_155255_529368.jpg,0.2,0.0
20260317_155255_593974,img_20260317_155255_593974.jpg,0.2,0.0
20260317_155255_644356,img_20260317_155255_644356.jpg,0.2,0.0
20260317_155255_685331,img_20260317_155255_685331.jpg,0.2,0.0
20260317_155255_747294,img_20260317_155255_747294.jpg,0.2,0.0
20260317_155255_799109,img_20260317_155255_799109.jpg,0.2,0.0
20260317_155255_840337,img_20260317_155255_840337.jpg,0.2,0.0
20260317_155255_902721,img_20260317_155255_902721.jpg,0.2,0.0
20260317_155255_940861,img_20260317_155255_940861.jpg,0.2,0.0
20260317_155256_003949,img_20260317_155256_003949.jpg,0.2,0.0
20260317_155256_053920,img_20260317_155256_053920.jpg,0.2,0.0
20260317_155256_103265,img_20260317_155256_103265.jpg,0.2,0.0
20260317_155256_154681,img_20260317_155256_154681.jpg,0.2,0.0
20260317_155256_205881,img_20260317_155256_205881.jpg,0.2,0.0
20260317_155256_265896,img_20260317_155256_265896.jpg,0.2,0.0
20260317_155256_308593,img_20260317_155256_308593.jpg,0.2,0.0
20260317_155256_359323,img_20260317_155256_359323.jpg,0.2,0.0
20260317_155256_409387,img_20260317_155256_409387.jpg,0.2,0.0
20260317_155256_461314,img_20260317_155256_461314.jpg,0.2,0.0
20260317_155256_512385,img_20260317_155256_512385.jpg,0.2,0.0
20260317_155256_568532,img_20260317_155256_568532.jpg,0.2,0.0
20260317_155256_618217,img_20260317_155256_618217.jpg,0.2,0.0
20260317_155256_670558,img_20260317_155256_670558.jpg,0.2,0.0
20260317_155256_724245,img_20260317_155256_724245.jpg,0.2,0.0
20260317_155256_771653,img_20260317_155256_771653.jpg,0.2,0.0
20260317_155256_812150,img_20260317_155256_812150.jpg,0.2,0.0
20260317_155256_863195,img_20260317_155256_863195.jpg,0.2,0.0
20260317_155256_927494,img_20260317_155256_927494.jpg,0.2,0.0
20260317_155256_979914,img_20260317_155256_979914.jpg,0.2,0.0
20260317_155257_017737,img_20260317_155257_017737.jpg,0.2,0.0
20260317_155257_081480,img_20260317_155257_081480.jpg,0.2,0.0
20260317_155257_131783,img_20260317_155257_131783.jpg,0.2,0.0
20260317_155257_174687,img_20260317_155257_174687.jpg,0.2,0.0
20260317_155257_236239,img_20260317_155257_236239.jpg,0.2,0.0
20260317_155257_275048,img_20260317_155257_275048.jpg,0.2,0.0
20260317_155257_325012,img_20260317_155257_325012.jpg,0.2,0.0
20260317_155257_388183,img_20260317_155257_388183.jpg,0.2,0.0
20260317_155257_431644,img_20260317_155257_431644.jpg,0.2,0.0
20260317_155257_491223,img_20260317_155257_491223.jpg,0.2,0.0
20260317_155257_533574,img_20260317_155257_533574.jpg,0.2,0.0
20260317_155257_596322,img_20260317_155257_596322.jpg,0.2,0.0
20260317_155257_646116,img_20260317_155257_646116.jpg,0.2,0.0
20260317_155257_700903,img_20260317_155257_700903.jpg,0.2,0.0
20260317_155257_750138,img_20260317_155257_750138.jpg,0.2,0.0
20260317_155257_805358,img_20260317_155257_805358.jpg,0.2,0.0
20260317_155257_854918,img_20260317_155257_854918.jpg,0.2,0.0
20260317_155257_906704,img_20260317_155257_906704.jpg,0.2,0.0
20260317_155257_957415,img_20260317_155257_957415.jpg,0.2,0.0
20260317_155258_010799,img_20260317_155258_010799.jpg,0.2,0.0
20260317_155258_061500,img_20260317_155258_061500.jpg,0.2,0.0
20260317_155258_116762,img_20260317_155258_116762.jpg,0.2,0.0
20260317_155258_155113,img_20260317_155258_155113.jpg,0.2,0.0
20260317_155258_214630,img_20260317_155258_214630.jpg,0.2,0.0
20260317_155258_268071,img_20260317_155258_268071.jpg,0.2,0.0
20260317_155258_319358,img_20260317_155258_319358.jpg,0.2,0.0
20260317_155258_368749,img_20260317_155258_368749.jpg,0.2,0.0
20260317_155258_411537,img_20260317_155258_411537.jpg,0.2,0.0
20260317_155258_470629,img_20260317_155258_470629.jpg,0.2,0.0
20260317_155258_524574,img_20260317_155258_524574.jpg,0.2,0.0
20260317_155258_577611,img_20260317_155258_577611.jpg,0.2,0.0
20260317_155258_623529,img_20260317_155258_623529.jpg,0.2,0.0
20260317_155258_678892,img_20260317_155258_678892.jpg,0.2,0.0
20260317_155258_728708,img_20260317_155258_728708.jpg,0.2,0.0
20260317_155258_782221,img_20260317_155258_782221.jpg,0.2,0.0
20260317_155258_833511,img_20260317_155258_833511.jpg,0.2,0.0
20260317_155258_886375,img_20260317_155258_886375.jpg,0.2,0.0
20260317_155258_935194,img_20260317_155258_935194.jpg,0.2,0.0
20260317_155258_989229,img_20260317_155258_989229.jpg,0.2,0.0
20260317_155259_030242,img_20260317_155259_030242.jpg,0.2,0.0
20260317_155259_089932,img_20260317_155259_089932.jpg,0.2,0.0
20260317_155259_140920,img_20260317_155259_140920.jpg,0.2,0.0
20260317_155259_192412,img_20260317_155259_192412.jpg,0.2,0.0
20260317_155259_242144,img_20260317_155259_242144.jpg,0.2,0.0
20260317_155259_297387,img_20260317_155259_297387.jpg,0.2,0.0
20260317_155259_332841,img_20260317_155259_332841.jpg,0.2,0.0
20260317_155259_397054,img_20260317_155259_397054.jpg,0.2,0.0
20260317_155259_446887,img_20260317_155259_446887.jpg,0.2,0.0
20260317_155259_501568,img_20260317_155259_501568.jpg,0.2,0.0
20260317_155259_548956,img_20260317_155259_548956.jpg,0.2,0.0
20260317_155259_602675,img_20260317_155259_602675.jpg,0.2,0.0
20260317_155259_639523,img_20260317_155259_639523.jpg,0.2,0.0
20260317_155259_691646,img_20260317_155259_691646.jpg,0.2,0.0
20260317_155259_752039,img_20260317_155259_752039.jpg,0.2,0.0
20260317_155259_804825,img_20260317_155259_804825.jpg,0.2,0.0
20260317_155259_855881,img_20260317_155259_855881.jpg,0.2,0.0
20260317_155259_909752,img_20260317_155259_909752.jpg,0.2,0.0
20260317_155259_960554,img_20260317_155259_960554.jpg,0.2,0.0
20260317_155300_012917,img_20260317_155300_012917.jpg,0.2,0.0
20260317_155300_065082,img_20260317_155300_065082.jpg,0.2,0.0
20260317_155300_116898,img_20260317_155300_116898.jpg,0.2,0.0
20260317_155300_164591,img_20260317_155300_164591.jpg,0.2,0.0
20260317_155300_219064,img_20260317_155300_219064.jpg,0.2,0.0
20260317_155300_268652,img_20260317_155300_268652.jpg,0.2,0.0
20260317_155300_323199,img_20260317_155300_323199.jpg,0.2,0.0
20260317_155300_371178,img_20260317_155300_371178.jpg,0.2,0.0
20260317_155300_424441,img_20260317_155300_424441.jpg,0.2,0.0
20260317_155300_473934,img_20260317_155300_473934.jpg,0.2,0.0
20260317_155300_527198,img_20260317_155300_527198.jpg,0.2,0.0
20260317_155300_578096,img_20260317_155300_578096.jpg,0.2,0.0
20260317_155300_631486,img_20260317_155300_631486.jpg,0.2,0.0
20260317_155300_680707,img_20260317_155300_680707.jpg,0.2,0.0
20260317_155300_736308,img_20260317_155300_736308.jpg,0.2,0.0
20260317_155300_783892,img_20260317_155300_783892.jpg,0.2,0.0
20260317_155300_836600,img_20260317_155300_836600.jpg,0.2,0.0
20260317_155300_888230,img_20260317_155300_888230.jpg,0.2,0.0
20260317_155300_928832,img_20260317_155300_928832.jpg,0.2,0.0
20260317_155300_979049,img_20260317_155300_979049.jpg,0.2,0.0
20260317_155301_040381,img_20260317_155301_040381.jpg,0.2,0.0
20260317_155301_083310,img_20260317_155301_083310.jpg,0.2,0.0
20260317_155301_143396,img_20260317_155301_143396.jpg,0.2,0.0
20260317_155301_186848,img_20260317_155301_186848.jpg,0.2,0.0
20260317_155301_249307,img_20260317_155301_249307.jpg,0.2,0.0
20260317_155301_287968,img_20260317_155301_287968.jpg,0.2,0.0
20260317_155301_340361,img_20260317_155301_340361.jpg,0.2,0.0
20260317_155301_399748,img_20260317_155301_399748.jpg,0.2,0.0
20260317_155301_452214,img_20260317_155301_452214.jpg,0.2,0.0
20260317_155301_502265,img_20260317_155301_502265.jpg,0.2,0.0
20260317_155301_559575,img_20260317_155301_559575.jpg,0.2,0.0
20260317_155301_602816,img_20260317_155301_602816.jpg,0.2,0.0
20260317_155301_658128,img_20260317_155301_658128.jpg,0.2,0.0
20260317_155301_708380,img_20260317_155301_708380.jpg,0.2,0.0
20260317_155301_760201,img_20260317_155301_760201.jpg,0.2,0.0
20260317_155301_814737,img_20260317_155301_814737.jpg,0.2,0.0
20260317_155301_865378,img_20260317_155301_865378.jpg,0.2,0.0
20260317_155301_916967,img_20260317_155301_916967.jpg,0.2,0.0
20260317_155301_968963,img_20260317_155301_968963.jpg,0.2,0.0
20260317_155302_008730,img_20260317_155302_008730.jpg,0.2,0.0
20260317_155302_071994,img_20260317_155302_071994.jpg,0.2,0.0
20260317_155302_120776,img_20260317_155302_120776.jpg,0.2,0.0
20260317_155302_175293,img_20260317_155302_175293.jpg,0.2,0.0
20260317_155302_225395,img_20260317_155302_225395.jpg,0.2,0.0
20260317_155302_279406,img_20260317_155302_279406.jpg,0.2,0.0
20260317_155302_331424,img_20260317_155302_331424.jpg,0.2,0.0
20260317_155302_380152,img_20260317_155302_380152.jpg,0.2,0.0
20260317_155302_434938,img_20260317_155302_434938.jpg,0.2,0.0
20260317_155302_485233,img_20260317_155302_485233.jpg,0.2,0.0
20260317_155302_536857,img_20260317_155302_536857.jpg,0.2,0.0
20260317_155302_586461,img_20260317_155302_586461.jpg,0.2,0.0
20260317_155302_640259,img_20260317_155302_640259.jpg,0.2,0.0
20260317_155302_689282,img_20260317_155302_689282.jpg,0.2,0.0
20260317_155302_741377,img_20260317_155302_741377.jpg,0.2,0.0
20260317_155302_793433,img_20260317_155302_793433.jpg,0.2,0.0
20260317_155302_844353,img_20260317_155302_844353.jpg,0.2,0.0
20260317_155302_893870,img_20260317_155302_893870.jpg,0.2,0.0
20260317_155302_937469,img_20260317_155302_937469.jpg,0.2,0.0
20260317_155302_995710,img_20260317_155302_995710.jpg,0.2,0.0
20260317_155303_051241,img_20260317_155303_051241.jpg,0.2,0.0
20260317_155303_100330,img_20260317_155303_100330.jpg,0.2,0.0
20260317_155303_151079,img_20260317_155303_151079.jpg,0.2,0.0
20260317_155303_202055,img_20260317_155303_202055.jpg,0.2,0.0
20260317_155303_243779,img_20260317_155303_243779.jpg,0.2,0.0
20260317_155303_306534,img_20260317_155303_306534.jpg,0.2,0.0
20260317_155303_358622,img_20260317_155303_358622.jpg,0.2,0.0
20260317_155303_414024,img_20260317_155303_414024.jpg,0.2,0.0
20260317_155303_459855,img_20260317_155303_459855.jpg,0.2,0.0
20260317_155303_502225,img_20260317_155303_502225.jpg,0.2,0.0
20260317_155303_562581,img_20260317_155303_562581.jpg,0.2,0.0
20260317_155303_616727,img_20260317_155303_616727.jpg,0.2,0.0
20260317_155303_665775,img_20260317_155303_665775.jpg,0.2,0.0
20260317_155303_707464,img_20260317_155303_707464.jpg,0.2,0.0
20260317_155303_773037,img_20260317_155303_773037.jpg,0.2,0.0
20260317_155303_821106,img_20260317_155303_821106.jpg,0.2,0.0
20260317_155303_875857,img_20260317_155303_875857.jpg,0.2,0.0
20260317_155303_911861,img_20260317_155303_911861.jpg,0.2,0.0
20260317_155303_973644,img_20260317_155303_973644.jpg,0.2,0.0
20260317_155304_023463,img_20260317_155304_023463.jpg,0.2,0.0
20260317_155304_080178,img_20260317_155304_080178.jpg,0.2,0.0
20260317_155304_131211,img_20260317_155304_131211.jpg,0.2,0.0
20260317_155304_177763,img_20260317_155304_177763.jpg,0.2,0.0
20260317_155304_229616,img_20260317_155304_229616.jpg,0.2,0.0
20260317_155304_281769,img_20260317_155304_281769.jpg,0.2,0.0
20260317_155304_322264,img_20260317_155304_322264.jpg,0.2,0.0
20260317_155304_383385,img_20260317_155304_383385.jpg,0.2,0.0
20260317_155304_434972,img_20260317_155304_434972.jpg,0.2,0.0
20260317_155304_479053,img_20260317_155304_479053.jpg,0.2,0.0
20260317_155304_543044,img_20260317_155304_543044.jpg,0.2,0.0
20260317_155304_589681,img_20260317_155304_589681.jpg,0.2,0.0
20260317_155304_640287,img_20260317_155304_640287.jpg,0.2,0.0
20260317_155304_688567,img_20260317_155304_688567.jpg,0.2,0.0
20260317_155304_731138,img_20260317_155304_731138.jpg,0.2,0.0
20260317_155304_791829,img_20260317_155304_791829.jpg,0.2,0.0
20260317_155304_834193,img_20260317_155304_834193.jpg,0.2,0.0
20260317_155304_893741,img_20260317_155304_893741.jpg,0.2,0.0
20260317_155304_935801,img_20260317_155304_935801.jpg,0.2,0.0
20260317_155304_995589,img_20260317_155304_995589.jpg,0.2,0.0
20260317_155305_046045,img_20260317_155305_046045.jpg,0.2,0.0
20260317_155305_089844,img_20260317_155305_089844.jpg,0.2,0.0
20260317_155305_148045,img_20260317_155305_148045.jpg,0.2,0.0
20260317_155305_203853,img_20260317_155305_203853.jpg,0.2,0.0
20260317_155305_256281,img_20260317_155305_256281.jpg,0.2,0.0
20260317_155305_306034,img_20260317_155305_306034.jpg,0.2,0.0
20260317_155305_355940,img_20260317_155305_355940.jpg,0.2,0.0
20260317_155305_407831,img_20260317_155305_407831.jpg,0.2,0.0
20260317_155305_459240,img_20260317_155305_459240.jpg,0.2,0.0
20260317_155305_510953,img_20260317_155305_510953.jpg,0.2,0.0
20260317_155305_559565,img_20260317_155305_559565.jpg,0.2,0.0
20260317_155305_611477,img_20260317_155305_611477.jpg,0.2,0.0
20260317_155305_661947,img_20260317_155305_661947.jpg,0.2,0.0
20260317_155305_717017,img_20260317_155305_717017.jpg,0.2,0.0
20260317_155305_757478,img_20260317_155305_757478.jpg,0.2,0.0
20260317_155305_822425,img_20260317_155305_822425.jpg,0.2,0.0
20260317_155305_867921,img_20260317_155305_867921.jpg,0.2,0.0
20260317_155305_919384,img_20260317_155305_919384.jpg,0.2,0.0
20260317_155305_969221,img_20260317_155305_969221.jpg,0.2,0.0
20260317_155306_020753,img_20260317_155306_020753.jpg,0.2,0.0
20260317_155306_077336,img_20260317_155306_077336.jpg,0.2,0.0
20260317_155306_124651,img_20260317_155306_124651.jpg,0.2,0.0
20260317_155306_174935,img_20260317_155306_174935.jpg,0.2,0.0
20260317_155306_226868,img_20260317_155306_226868.jpg,0.2,0.0
20260317_155306_277889,img_20260317_155306_277889.jpg,0.2,0.0
20260317_155306_315539,img_20260317_155306_315539.jpg,0.2,0.0
20260317_155306_377169,img_20260317_155306_377169.jpg,0.2,0.0
20260317_155306_427446,img_20260317_155306_427446.jpg,0.2,0.0
20260317_155306_483568,img_20260317_155306_483568.jpg,0.2,0.0
20260317_155306_531272,img_20260317_155306_531272.jpg,0.2,0.0
20260317_155306_582944,img_20260317_155306_582944.jpg,0.2,0.0
20260317_155306_634501,img_20260317_155306_634501.jpg,0.2,0.0
